LocalTime,Turbine,WspAvg(m/s),WindDirAvg(Deg),NacelPos(Deg),Power(kW),SecBrakeActive(s),SecGridConnection(s),AmbientTemp(C)
20210816110000,SWSMAM-SC1-GAC12-VM79,3.1,1.4,273.2,-1.3,0,0,28.6
20210816111000,SWSMAM-SC1-GAC01-VM26,3.3,-1,213.2,-1.8,0,0,31
20210816111000,SWSMAM-SC1-GAC02-VM28,3.3,-3.6,224.7,-4.1,0,0,31.6
20210816111000,SWSMAM-SC1-GAC03-VM29,3.2,-2.1,212.1,-1.9,0,0,32
20210816111000,SWSMAM-SC1-GAC10-VM30,3.3,8.4,218.1,-1.8,0,0,31
20210816111000,SWSMAM-SC1-GAC06-VM31,3.1,-9.2,228.5,-2.4,0,0,30.4
20210816111000,SWSMAM-SC1-GAC08-VM32,2.9,7.7,270.6,-1.4,0,0,32.7
20210816111000,SWSMAM-SC1-GAC09-VM60,2.8,14.1,47.2,0,0,0,30.8
20210816111000,SWSMAM-SC1-GAC13-VM95,3.5,2.4,264.3,-3.5,0,0,30
20210816111000,SWSMAM-SC1-GAC14-VM117,3.5,8.7,247.7,-2.5,0,0,31
20210816111000,SWSMDV-S15-GAC01-JMD497,5.6,-2.2,23.8,342.1,0,600,34.3
20210816112000,SWSMDV-S10-GAC09-M445,5.8,3.1,332.3,201.1,0,600,37.4
20210816112000,SWSMDV-S10-GAC10-M446,6.3,3.2,225.1,-0.1,600,0,43.6
20210816112000,SWSMDV-S10-GAC11-M448,5.7,-1.9,340.7,143.4,0,551,39.7
20210816112000,SWSMDV-S10-GAC17-M449,5.7,2.5,233.1,138.5,0,499,38.1
20210816112000,SWSMDV-S10-GAC18-M450,5.9,-1.4,345.7,174.9,0,600,37.4
20210816112000,SWSMDV-S10-GAC01-M466,5.5,-1.5,277.8,88.2,0,408,39.7
20210816112000,SWSMAM-SC1-GAC07-VM61,2.9,17.3,109.8,-0.8,0,0,33
20210816112000,SWSMAM-SC1-GAC11-VM62,2.9,24,238.7,-0.5,0,0,31
20210816112000,SWSMAM-SC1-GAC05-VM63,2.5,10.7,204.3,-0.7,0,0,33
20210816112000,SWSMDV-S15-GAC01-JMD272,5.2,2.2,13.8,288.5,0,600,31.7
20210816112000,SWSBHT-SC9-GAC01-KCD22,4.7,-2.9,156,-0.1,600,0,29.6
20210816112000,SWSBHT-SC9-GAC01-KCD23,5.5,-5.1,224.3,356.9,0,600,31.8
20210816112000,SWSBHT-SC9-GAC01-KCD29,5.7,1.1,292.8,366.2,0,600,29.9
20210816112000,SWSBHT-SC9-GAC01-KCD33,5.6,-3.7,230.3,361.5,0,600,30.5
20210816112000,SWSBHT-SC9-GAC01-KCD34,5.7,0.9,340.3,326.7,0,600,35.1
20210816112000,SWSBHT-SC9-GAC01-KCD35,5.3,0,205.9,320.4,0,600,33.3
20210816112000,SWSBHT-SC9-GAC01-KCD36,5.4,-0.3,251,307.7,0,600,33
20210816113000,SWSMDV-S15-GAC01-JMD281,5.8,3.3,94.6,-1.2,600,0,30
20210816113000,SWSMDV-S15-GAC01-JMD242,5.5,-1.6,31,428.9,0,600,31.1
20210816113000,SWSMDV-S15-GAC01-JMD243,5.9,-0.8,41.1,471.2,0,600,-273.1
20210816113000,SWSMDV-S15-GAC01-JMD245,6.4,-0.3,73.2,582.9,0,600,32.9
20210816113000,SWSMDV-S15-GAC01-JMD246,5.7,1.4,35.3,430,0,600,29.6
20210816113000,SWSMDV-S15-GAC01-JMD550,6.1,3.1,212.7,499.6,0,600,32
20210816113000,SWSMDV-S15-GAC01-JMD554,5.9,2.6,200,421.6,0,600,30.5
20210816113000,SWSMDV-S15-GAC01-JMD552,6,1.4,169.9,416.2,0,600,30.6
20210816113000,SWSMDV-S15-GAC01-JMD553,6.2,-1.6,187.2,442.2,0,600,30.2
